,congestion_rent_eur
262,460735.80444
350,4657826.74942
328,17728.88473
179,17928.00599
334,19630.77065
269,13951.93133
341,16806.35998
312,17166.75882
270,16697.09506
178,80656682.39272
310,37672345.26991
176,153437.46202
94,29222868.48810
277,18480.40805
95,16270.36924
276,15060.13947
79,11571009.83856
80,731660.47242
267,15662.41593
316,7163.55471
177,16409.83472
311,15216.01845
