snapshot,262,350,328,179,334,269,341,312,270,178,310,176,94,277,95,276,79,80,267,316,177,311
2025-01-01 00:00:00,-0.00171419,-0.00259560,-0.00095399,-0.00276279,-0.00044220,-0.00000000,-0.00029251,-0.00034802,-0.00021899,-0.00037008,-0.00041791,-0.00839509,-0.00132924,-0.00147530,-0.00140525,-0.00054054,-0.00031037,-0.00319564,-0.00018399,-0.00021744,-0.00036190,-0.00017217
2025-01-01 01:00:00,-0.00186211,-0.00254708,-0.00100197,-0.00280138,-0.00044862,-0.00000000,-0.00028896,-0.00034953,-0.00021705,-0.00036989,-0.00041269,-0.00842752,-0.00133331,-0.00146950,-0.00139937,-0.00053375,-0.00034888,-0.00431945,-0.00018562,-0.00021816,-0.00036201,-0.00017192
2025-01-01 02:00:00,-0.00219091,-0.00266069,-0.00099090,-0.00267818,-0.00042838,-0.00000000,-0.00028459,-0.00033486,-0.00021301,-0.00037017,-0.00041270,-0.00799608,-0.00133466,-0.00147953,-0.00141208,-0.00052699,-0.00037188,-0.00511375,-0.00018655,-0.00021914,-0.00035828,-0.00017227
2025-01-01 03:00:00,-0.00315405,-0.00322295,-0.00095401,-0.00246171,-0.00038872,-0.00000000,-0.00028699,-0.00031732,-0.00022390,-0.00041111,-0.00043325,-0.00776746,-0.00139213,-0.00141580,-0.00136729,-0.00052454,-0.00040659,-0.00392581,-0.00018322,-0.00021716,-0.00033168,-0.00017362
2025-01-01 04:00:00,-0.00351510,-0.00330889,-0.00096619,-0.00243610,-0.00038469,-0.00000000,-0.00028711,-0.00031456,-0.00022599,-0.00041564,-0.00043157,-0.00809517,-0.00140472,-0.00140125,-0.00135351,-0.00052107,-0.00039966,-0.00393953,-0.00018151,-0.00021671,-0.00032726,-0.00017446
2025-01-01 05:00:00,-0.00381718,-0.00340457,-0.00097266,-0.00243080,-0.00038377,-0.00000000,-0.00028687,-0.00031296,-0.00022683,-0.00041803,-0.00042922,-0.00859004,-0.00142277,-0.00138851,-0.00134777,-0.00051804,-0.00039436,-0.00393967,-0.00018097,-0.00021672,-0.00032622,-0.00017541
2025-01-01 06:00:00,-0.00405331,-0.00348981,-0.00096203,-0.00238815,-0.00037670,-0.00000000,-0.00028748,-0.00030944,-0.00022942,-0.00042505,-0.00043316,-0.00853004,-0.00143137,-0.00138492,-0.00134149,-0.00051878,-0.00038984,-0.00376113,-0.00018057,-0.00021623,-0.00032234,-0.00017584
2025-01-01 07:00:00,-0.00307838,-0.00297708,-0.00102144,-0.00253166,-0.00039963,-0.00000000,-0.00028536,-0.00032386,-0.00021836,-0.00039683,-0.00043319,-0.00760666,-0.00135253,-0.00146605,-0.00139634,-0.00053240,-0.00048466,-0.00818711,-0.00018273,-0.00021899,-0.00033494,-0.00017163
2025-01-01 08:00:00,-0.00335719,-0.00307779,-0.00103232,-0.00254429,-0.00040142,-0.00000000,-0.00028340,-0.00032464,-0.00021554,-0.00039279,-0.00043676,-0.00751603,-0.00132646,-0.00148473,-0.00140510,-0.00053731,-0.00047515,-0.00704618,-0.00018431,-0.00021973,-0.00033402,-0.00017109
