name,bus0,bus1,country_pair,s_nom_mw,mean_loading,p95_loading,max_loading,congested_hours,congested_share_pct
109,DE0 124,DE0 165,DE-DE,3396.205,0.289,0.587,0.690,0,0.000
110,DE0 124,DE0 93,DE-DE,3396.205,0.295,0.593,0.700,0,0.000
112,DE0 125,DE0 218,DE-DE,3396.205,0.341,0.593,0.691,0,0.000
177,DE0 146,DE0 214,DE-DE,2189.659,0.142,0.262,0.298,0,0.000
179,DE0 146,DE0 85,DE-DE,491.556,0.252,0.363,0.380,0,0.000
192,DE0 151,DE0 93,DE-DE,3396.205,0.211,0.324,0.357,0,0.000
216,DE0 160,DE0 47,DE-DE,5265.430,0.154,0.239,0.281,0,0.000
218,DE0 160,DE0 69,DE-DE,491.556,0.219,0.408,0.492,0,0.000
262,DE0 180,DE0 214,DE-DE,1698.103,0.254,0.538,0.700,0,0.000
263,DE0 180,DE0 9,DE-DE,1698.103,0.220,0.469,0.571,0,0.000
267,DE0 183,DE0 33,DE-DE,3887.761,0.122,0.259,0.362,0,0.000
268,DE0 183,DE0 5,DE-DE,3396.205,0.363,0.534,0.602,0,0.000
269,DE0 183,DE0 85,DE-DE,3396.205,0.275,0.381,0.438,0,0.000
270,DE0 183,DE0 99,DE-DE,3396.205,0.198,0.368,0.414,0,0.000
328,DE0 214,DE0 85,DE-DE,2189.659,0.297,0.451,0.527,0,0.000
333,DE0 218,DE0 47,DE-DE,3396.205,0.345,0.575,0.657,0,0.000
334,DE0 23,DE0 33,DE-DE,3396.205,0.309,0.424,0.442,0,0.000
341,DE0 33,DE0 85,DE-DE,2189.659,0.222,0.320,0.353,0,0.000
342,DE0 33,DE0 93,DE-DE,5094.308,0.207,0.381,0.441,0,0.000
349,DE0 47,DE0 59,DE-DE,1698.103,0.259,0.463,0.564,0,0.000
350,DE0 47,DE0 85,DE-DE,491.556,0.221,0.456,0.606,0,0.000
358,DE0 59,DE0 82,DE-DE,1698.103,0.270,0.407,0.445,0,0.000
375,DE0 82,DE0 9,DE-DE,1698.103,0.296,0.432,0.470,0,0.000
88,DE0 115,DE0 69,DE-DE,983.112,0.156,0.288,0.423,0,0.000
